Nama,Umur,Kota,Pendidikan Terakhir,Jenis Pekerjaan,Jenis Kelamin
Shania Sinaga,57,Malang,SMP,Polisi,Perempuan
Diah Mandala,46,Jakarta,SD,Akuntan,Perempuan
Yunita Sinaga,37,Surabaya,SD,Developer,Laki-laki
"drg. Setya Januar, S.Pd",51,Yogyakarta,SMA,Desainer,Laki-laki
Vanya Megantara,25,Surabaya,SD,Insinyur,Perempuan
"Dr. Titi Rajata, M.M.",38,Yogyakarta,SMP,Dokter,Perempuan
Jamil Thamrin,64,Malang,PT,Insinyur,Perempuan
"T. Bagas Suartini, S.H.",47,Surabaya,SD,Developer,Laki-laki
Zulfa Thamrin,20,Surabaya,PT,Developer,Laki-laki
Usyi Manullang,30,Malang,SMP,Insinyur,Laki-laki
Samiah Nurdiyanti,43,Jakarta,SMP,Insinyur,Laki-laki
Dadi Prastuti,64,Jakarta,PT,Developer,Perempuan
Gabriella Wastuti,59,Surabaya,PT,Desainer,Perempuan
Fitria Safitri,56,Malang,SMP,Insinyur,Perempuan
Kayun Putra,50,Malang,SMP,Polisi,Perempuan
Julia Kuswoyo,36,Jakarta,SMA,Desainer,Laki-laki
"Yunita Putra, S.Psi",24,Surabaya,SD,Dokter,Perempuan
Wardi Sirait,25,Surabaya,SMP,Desainer,Laki-laki
Hari Pratiwi,25,Jakarta,SMA,Developer,Perempuan
"Sabrina Prasasta, M.Kom.",63,Jakarta,SD,Developer,Perempuan
drg. Cakrabirawa Uyainah,21,Yogyakarta,SD,Polisi,Laki-laki
Kenzie Gunawan,55,Jakarta,PT,Desainer,Perempuan
"Ade Agustina, S.Pt",31,Jakarta,SMA,Guru,Perempuan
"Jabal Permadi, S.Ked",31,Jakarta,SMP,Dokter,Perempuan
H. Bahuwirya Rajasa,41,Surabaya,SD,Akuntan,Perempuan
Damar Budiman,43,Yogyakarta,SD,Akuntan,Perempuan
Kambali Maryati,46,Malang,SMP,Desainer,Laki-laki
Asmuni Natsir,25,Surabaya,SMP,Guru,Laki-laki
Paris Suartini,59,Malang,SD,Akuntan,Laki-laki
Cengkal Irawan,25,Surabaya,SMA,Dokter,Laki-laki
Ian Melani,18,Surabaya,SMA,Dokter,Laki-laki
Cagak Marbun,52,Yogyakarta,PT,Polisi,Laki-laki
Irwan Tarihoran,46,Jakarta,SMA,Insinyur,Perempuan
Margana Fujiati,39,Jakarta,SD,Akuntan,Laki-laki
KH. Adika Prayoga,42,Surabaya,PT,Guru,Perempuan
Chandra Sihombing,40,Jakarta,SMP,Akuntan,Laki-laki
Nadia Saefullah,26,Jakarta,SMA,Guru,Perempuan
Makuta Hartati,52,Yogyakarta,SMA,Guru,Perempuan
Bella Najmudin,28,Yogyakarta,SMP,Desainer,Perempuan
Gara Kuswandari,47,Jakarta,PT,Polisi,Perempuan
Samiah Halimah,39,Yogyakarta,PT,Dokter,Perempuan
Karimah Sihombing,55,Malang,SMP,Developer,Perempuan
Yani Purnawati,44,Malang,SD,Polisi,Perempuan
"drg. Balijan Mangunsong, M.M.",44,Surabaya,SMP,Akuntan,Perempuan
Daru Uwais,29,Surabaya,SMA,Akuntan,Laki-laki
Maman Waskita,24,Yogyakarta,SD,Insinyur,Laki-laki
Lantar Yuniar,18,Yogyakarta,SMA,Dokter,Perempuan
"Zelaya Hastuti, S.E.",48,Malang,SMP,Desainer,Laki-laki
Dt. Aslijan Tampubolon,57,Surabaya,PT,Dokter,Laki-laki
Pardi Tamba,31,Malang,SMP,Akuntan,Perempuan
